pixel_index,color_value
0,-9675453
1,-8953025
2,-9086151
3,-9348550
4,-9547207
5,-10334144
6,-9214911
7,-10466762
8,-9612996
9,-10664649
10,-12178134
11,-12113374
12,-12046552
13,-10992071
14,-11720156
15,-11389398
16,-11323600
17,-9675456
18,-10270408
19,-9547456
20,-13100524
21,-8361414
22,-10467787
23,-9679302
24,-9151683
25,-10599369
26,-8163770
27,-8886718
28,-10403791
29,-10203846
30,-9348545
31,-8031667
32,-7570868
33,-5532059
34,-9612234
35,-10928595
36,-10140108
37,-9877967
38,-11193559
39,-9150668
40,-9480648
41,-9748948
42,-9022408
43,-9943246
44,-8364232
45,-8495813
46,-9612745
47,-10009557
48,-10735585
49,-10469076
50,-10732497
51,-10270927
52,-11321554
53,-10139081
54,-10797009
55,-9810894
56,-10072522
57,-11983075
58,-10732245
59,-10665425
60,-10533841
61,-9745106
62,-10073039
63,-10467793
64,-11846358
65,-10926034
66,-10861264
67,-11982047
68,-11519962
69,-10538202
70,-11652059
71,-11453399
72,-11653086
73,-11523040
74,-11849437
75,-8030892
76,-10333126
77,-8822455
78,-9150405
79,-8952772
80,-10007243
81,-8953800
82,-8755133
83,-7570607
84,-8820930
85,-10599886
86,-8951473
87,-10993357
88,-9941699
89,-11720930
90,-9741759
91,-8819888
92,-9677250
93,-10138314
94,-14347249
95,-9874119
96,-9610179
97,-7310264
98,-9083320
99,-9481410
100,-9611977
101,-8359345
102,-7570862
103,-11389396
104,-8757180
105,-11193303
106,-9678534
107,-7174814
108,-6846361
109,-8951491
110,-9086152
111,-9875145
112,-10536157
113,-11654360
114,-8756165
115,-10209496
116,-7768244
117,-9745360
118,-10337492
119,-9553624
120,-8888515
121,-9747152
122,-8494282
123,-9679310
124,-9417422
125,-10204884
126,-9284038
127,-10337487
128,-10270926
129,-10007755
130,-9217223
131,-11129308
132,-11851489
133,-10141138
134,-10072273
135,-10666709
136,-10796750
137,-10403282
138,-9809353
139,-10401491
140,-11846102
141,-10927314
142,-11259870
143,-11914202
144,-11520733
145,-11192796
146,-12243424
147,-10734552
148,-11850462
149,-11653083
150,-7900862
151,-8164036
152,-9680586
153,-7571384
154,-9679562
155,-8426681
156,-9022408
157,-9482445
158,-5597851
159,-7241126
160,-7898545
161,-7635374
162,-8622258
163,-8359851
164,-10333900
165,-11654618
166,-11520979
167,-12639971
168,-12377320
169,-11849942
170,-10203843
171,-11390424
172,-10597320
173,-10334150
174,-8951229
175,-10142157
176,-9610946
177,-10337228
178,-11850460
179,-8952511
180,-8556215
181,-9875910
182,-10733787
183,-9083850
184,-11126485
185,-9940422
186,-10400459
187,-10935275
188,-11456982
189,-6517403
190,-9089744
191,-8161978
192,-10007497
193,-10206155
194,-10733783
195,-10207443
196,-9351113
197,-10273492
198,-10535126
199,-9746892
200,-10405335
201,-9348809
202,-11982046
203,-10006731
204,-11322579
205,-11260894
206,-10931416
207,-10995162
208,-11061212
209,-11716316
210,-11059154
211,-9415114
212,-10861010
213,-10399945
214,-11845843
215,-11650780
216,-11718878
217,-11518422
218,-11586777
219,-11786723
220,-11980254
221,-12244706
222,-11915998
223,-11325405
224,-11257049
225,-9416388
226,-8295103
227,-7702707
228,-9150403
229,-7900862
230,-8296382
231,-7637431
232,-7044526
233,-6189213
234,-7307950
235,-6385567
236,-7373490
237,-7832742
238,-6254233
239,-7045805
240,-8885939
241,-10927054
242,-8951731
243,-5859743
244,-9349314
245,-10202311
246,-9678019
247,-8691133
248,-10204099
249,-8885433
250,-8820154
251,-10464717
252,-9084098
253,-7833519
254,-10992072
255,-10799317
256,-10729927
257,-11322829
258,-10337998
259,-9149114
260,-7241644
261,-9480648
262,-8689853
263,-12312289
264,-11719903
265,-7438255
266,-10006731
267,-10140111
268,-9282505
269,-9281990
270,-7240618
271,-9018303
272,-10794702
273,-9618132
274,-8295873
275,-9084607
276,-10795470
277,-11192532
278,-9743820
279,-11195874
280,-10732497
281,-10534351
282,-10664144
283,-11715283
284,-9546705
285,-10666452
286,-10598096
287,-10335693
288,-10007497
289,-10664914
290,-11652318
291,-11978973
292,-10730964
293,-11915744
294,-11983077
295,-12506338
296,-11586525
297,-11784158
298,-11848155
299,-12111581
300,-8492473
301,-8427971
302,-7045800
303,-9481160
304,-5860502
305,-6451625
306,-6320541
307,-7176111
308,-8031160
309,-7043495
310,-6847144
311,-7636663
312,-12109513
313,-8029351
314,-9937090
315,-7634594
316,-7372722
317,-6781103
318,-7174830
319,-7898549
320,-7438254
321,-8359346
322,-9018558
323,-10137282
324,-10730441
325,-9547974
326,-10136009
327,-10728907
328,-9940938
329,-9740738
330,-11386067
331,-10137553
332,-10863048
333,-11717074
334,-9940679
335,-7440051
336,-10465235
337,-8560328
338,-9545928
339,-11851488
340,-11523806
341,-10138058
342,-9150929
343,-10598096
344,-9149641
345,-9153479
346,-8098482
347,-8889285
348,-9741000
349,-9873096
350,-9875915
351,-10270157
352,-10598092
353,-10071752
354,-11391708
355,-11260122
356,-10732760
357,-7900352
358,-11452374
359,-10336721
360,-11190741
361,-9020108
362,-10729678
363,-11586012
364,-11258841
365,-10733526
366,-10862038
367,-11454686
368,-11783644
369,-12047587
370,-10206936
371,-11981534
372,-12177631
373,-12311013
374,-12045534
375,-9216966
376,-8626623
377,-7504052
378,-6321057
379,-7571899
380,-7637688
381,-6583968
382,-7439802
383,-9874131
384,-8360128
385,-9610950
386,-9347271
387,-9017019
388,-9673922
389,-9345732
390,-8096173
391,-7634856
392,-8886196
393,-10335943
394,-7504567
395,-9344948
396,-7900351
397,-8030641
398,-9413572
399,-8820151
400,-10861505
401,-9083328
402,-8623809
403,-10603737
404,-11518670
405,-10201801
406,-11123406
407,-11847381
408,-10662605
409,-10005705
410,-8359351
411,-8096443
412,-8622789
413,-11125713
414,-10202060
415,-11064290
416,-11129824
417,-11785438
418,-10928084
419,-9808583
420,-8360125
421,-9149640
422,-9413071
423,-8952511
424,-11587804
425,-11193301
426,-11389908
427,-11062742
428,-10931158
429,-11324888
430,-11321303
431,-10863833
432,-10005711
433,-11846869
434,-10859984
435,-11848925
436,-11320536
437,-11058646
438,-11782621
439,-11061725
440,-10204625
441,-11192281
442,-11259100
443,-11586780
444,-11784158
445,-11849953
446,-11784928
447,-11587038
448,-11784414
449,-12835558
450,-8228793
451,-8164028
452,-7505845
453,-7835323
454,-7439286
455,-9743819
456,-7045547
457,-9807824
458,-9940686
459,-8952522
460,-10402510
461,-10005453
462,-8689090
463,-10599884
464,-10467534
465,-8425403
466,-10928337
467,-9214654
468,-9874124
469,-11189451
470,-10068166
471,-8490940
472,-8425403
473,-9149123
474,-10205380
475,-11321035
476,-10730692
477,-10793677
478,-9939916
479,-10925776
480,-11647692
481,-12110807
482,-12305363
483,-12043216
484,-11254989
485,-10596811
486,-8755146
487,-7898804
488,-11124945
489,-10795215
490,-10006983
491,-9874896
492,-10069963
493,-10071505
494,-11126225
495,-11061973
496,-9875400
497,-10270670
498,-10930387
499,-10472416
500,-10599632
501,-10798803
502,-10335944
503,-10996182
504,-10468046
505,-11518676
506,-11057881
507,-10665684
508,-11060183
509,-11059931
510,-8889042
511,-11455195
512,-11784161
513,-11454423
514,-11061465
515,-11060184
516,-11454423
517,-11785441
518,-11719392
519,-10404052
520,-11851232
521,-10471897
522,-10469336
523,-10204883
524,-12374755
525,-6781346
526,-8690372
527,-8362435
528,-8954569
529,-9218503
530,-9085381
531,-9479119
532,-9745358
533,-10138572
534,-9085129
535,-10663382
536,-10070734
537,-11125971
538,-10466254
539,-10729166
540,-10005452
541,-11844298
542,-10332617
543,-10925774
544,-11580871
545,-8820159
546,-9874119
547,-9673923
548,-10661067
549,-8884662
550,-10858950
551,-10401219
552,-11849170
553,-11780816
554,-11781581
555,-11122898
556,-12108240
557,-12240086
558,-13951466
559,-12635102
560,-12634589
561,-14739180
562,-15331312
563,-14673389
564,-12501977
565,-9608911
566,-10202840
567,-5662074
568,-4872808
569,-4610409
570,-4675948
571,-4741226
572,-4412007
573,-4214879
574,-4609896
575,-7900835
576,-10267591
577,-11254479
578,-10598353
579,-10665172
580,-10598866
581,-10533588
582,-11321049
583,-10729177
584,-10730714
585,-11321562
586,-12110556
587,-11980252
588,-11783905
589,-11718363
590,-11585760
591,-11849951
592,-12046817
593,-11653089
594,-12178148
595,-11061724
596,-10336470
597,-10798036
598,-10795987
599,-12243425
600,-8492489
601,-7966656
602,-8294588
603,-9350859
604,-9284295
605,-9743307
606,-9479371
607,-11123668
608,-10007760
609,-9743306
610,-11459815
611,-11715540
612,-10532304
613,-10401999
614,-12438219
615,-10136270
616,-11650262
617,-11254732
618,-12436175
619,-11453907
620,-9083334
621,-11190740
622,-10663107
623,-12305099
624,-9871307
625,-8293304
626,-10925513
627,-11780812
628,-11322577
629,-11845841
630,-12307161
631,-12832993
632,-16119286
633,-16119286
634,-16053493
635,-15724787
636,-15790579
637,-15593201
638,-15593201
639,-15527408
640,-15198445
641,-4017758
642,-4280673
643,-4478060
644,-4281192
645,-4675441
646,-4346474
647,-4741235
648,-4214888
649,-4017509
650,-4412521
651,-3951455
652,-4544108
653,-4149345
654,-11254739
655,-11847130
656,-12306906
657,-9743830
658,-11781344
659,-11518428
660,-12439778
661,-12439522
662,-12177120
663,-12308709
664,-11980003
665,-11980769
666,-12177632
667,-11981537
668,-12571362
669,-12309219
670,-11190487
671,-10336214
672,-10400470
673,-11518427
674,-11781336
675,-8229829
676,-8361669
677,-9019595
678,-8558276
679,-8822218
680,-9544909
681,-10662353
682,-11714770
683,-10532309
684,-11650262
685,-13361897
686,-12836584
687,-13098473
688,-12047327
689,-11388372
690,-10005710
691,-10531536
692,-10662354
693,-10464206
694,-11910598
695,-11516104
696,-11385554
697,-10003659
698,-11847119
699,-10068682
700,-10463689
701,-10727627
702,-11716054
703,-11453139
704,-12174300
705,-15790836
706,-15987956
707,-16053752
708,-15856373
